iter	Passed	Remaining
171	696	3351
172	698	3339
173	700	3327
174	704	3320
175	706	3308
176	708	3296
177	711	3285
178	714	3277
179	716	3265
180	719	3255
181	721	3244
182	723	3231
183	727	3224
184	729	3214
185	732	3203
186	734	3192
187	737	3184
188	739	3174
189	742	3165
190	745	3158
191	747	3147
192	750	3137
193	753	3128
194	755	3117
195	757	3106
196	760	3099
197	762	3089
198	765	3079
199	768	3075
200	771	3067
201	775	3061
202	777	3053
203	780	3043
204	784	3041
205	787	3033
206	790	3029
207	794	3023
208	797	3017
209	800	3012
210	803	3002
211	805	2993
212	808	2988
213	811	2979
214	813	2969
215	816	2962
216	818	2953
217	820	2944
218	824	2940
219	827	2933
220	830	2925
221	833	2920
222	835	2912
223	838	2905
224	841	2898
225	844	2892
226	848	2888
227	850	2881
228	853	2872
229	856	2867
230	858	2859
231	862	2854
232	866	2850
233	869	2846
234	873	2845
235	877	2840
236	881	2839
237	885	2835
238	889	2833
239	892	2826
240	897	2826
241	902	2826
242	906	2823
243	910	2819
244	913	2816
245	918	2814
246	921	2809
247	926	2808
248	930	2807
249	935	2805
250	938	2801
251	942	2798
252	946	2794
253	950	2791
254	953	2787
255	957	2781
256	960	2775
257	962	2769
258	966	2766
259	970	2761
260	973	2756
261	976	2751
262	979	2745
263	983	2741
264	986	2735
265	989	2730
266	992	2725
267	994	2717
268	999	2715
269	1002	2710
270	1006	2707
271	1009	2702
272	1012	2696
273	1016	2692
274	1019	2689
275	1023	2685
276	1026	2680
277	1030	2677
278	1033	2672
279	1037	2669
280	1041	2664
281	1045	2661
282	1049	2658
283	1052	2653
284	1056	2650
285	1059	2645
286	1063	2643
287	1066	2636
288	1070	2633
289	1073	2628
290	1078	2627
291	1082	2624
292	1087	2624
293	1090	2619
294	1095	2616
295	1098	2611
296	1102	2609
297	1105	2604
298	1110	2603
299	1114	2599
300	1118	2596
301	1121	2591
302	1126	2590
303	1129	2586
304	1134	2585
305	1137	2580
306	1141	2577
307	1144	2572
308	1149	2569
309	1152	2564
310	1156	2562
311	1159	2557
312	1162	2551
313	1166	2547
314	1169	2542
315	1173	2541
316	1177	2536
317	1181	2533
318	1185	2530
319	1188	2525
320	1191	2519
321	1193	2512
322	1196	2506
323	1198	2500
324	1200	2493
325	1204	2489
326	1206	2483
327	1209	2477
328	1212	2472
329	1214	2466
330	1217	2460
331	1221	2457
332	1223	2451
333	1226	2444
334	1229	2440
335	1232	2434
336	1235	2430
337	1238	2426
338	1241	2419
339	1244	2415
340	1246	2409
341	1248	2402
342	1252	2399
343	1256	2395
344	1259	2391
345	1262	2387
346	1267	2384
347	1269	2379
348	1272	2372
349	1274	2366
350	1277	2361
351	1279	2355
352	1281	2349
353	1285	2346
354	1288	2340
355	1291	2335
356	1293	2330
357	1296	2324
358	1299	2319
359	1301	2314
360	1304	2308
361	1307	2304
362	1310	2299
363	1312	2293
364	1315	2289
365	1318	2283
366	1321	2279
367	1324	2274
368	1327	2269
369	1330	2264
370	1333	2260
371	1335	2255
372	1338	2249
373	1341	2244
374	1343	2239
375	1346	2233
376	1350	2231
377	1352	2226
378	1356	2222
379	1358	2216
380	1361	2211
381	1364	2207
382	1366	2202
383	1369	2196
384	1372	2193
385	1375	2188
386	1378	2183
387	1381	2178
388	1383	2173
389	1386	2169
390	1389	2164
391	1392	2159
392	1395	2155
393	1398	2150
394	1400	2145
395	1403	2141
396	1406	2135
397	1409	2131
398	1412	2127
399	1415	2123
400	1418	2118
401	1422	2115
402	1425	2112
403	1429	2108
404	1432	2104
405	1436	2101
406	1439	2097
407	1443	2094
408	1446	2090
409	1449	2086
410	1453	2083
411	1457	2080
412	1460	2076
413	1463	2071
414	1467	2068
415	1469	2063
416	1472	2058
417	1476	2055
418	1478	2049
419	1482	2047
420	1485	2042
421	1487	2037
422	1491	2034
423	1493	2029
424	1496	2024
425	1500	2021
426	1502	2016
427	1505	2012
428	1509	2008
429	1511	2003
430	1515	2000
431	1517	1995
432	1520	1991
433	1524	1987
434	1526	1982
435	1530	1979
436	1532	1974
437	1535	1970
438	1539	1967
439	1541	1962
440	1545	1959
441	1548	1954
442	1551	1950
443	1555	1947
444	1557	1943
445	1560	1938
446	1563	1934
447	1566	1930
448	1570	1927
449	1573	1922
450	1576	1919
451	1579	1914
452	1581	1909
453	1584	1905
454	1587	1901
455	1590	1897
456	1594	1894
457	1597	1890
458	1600	1886
459	1603	1881
460	1605	1877
461	1608	1873
462	1611	1868
463	1613	1864
464	1617	1860
465	1619	1856
466	1622	1851
467	1625	1847
468	1628	1843
469	1632	1840
470	1635	1836
471	1637	1831
472	1641	1828
473	1644	1824
474	1647	1820
475	1650	1817
476	1653	1812
477	1656	1809
478	1659	1805
479	1661	1800
480	1665	1796
481	1667	1792
482	1669	1787
483	1673	1783
484	1675	1779
485	1677	1774
486	1680	1770
487	1683	1766
488	1685	1761
489	1689	1758
490	1692	1755
491	1696	1751
492	1698	1746
493	1701	1742
494	1704	1738
495	1706	1734
496	1709	1729
497	1712	1725
498	1715	1722
499	1717	1717
500	1721	1714
501	1723	1710
502	1726	1706
503	1730	1702
504	1732	1698
505	1735	1694
506	1738	1690
507	1740	1685
508	1744	1682
509	1747	1679
510	1750	1674
511	1753	1670
512	1755	1666
513	1758	1662
514	1761	1658
515	1763	1654
516	1767	1651
517	1769	1646
518	1771	1642
519	1774	1637
520	1777	1633
521	1779	1629
522	1782	1625
523	1785	1621
524	1787	1617
525	1790	1613
526	1793	1609
527	1795	1605
528	1798	1601
529	1801	1597
530	1803	1592
531	1806	1588
532	1809	1585
533	1812	1582
534	1816	1579
535	1819	1574
536	1821	1570
537	1825	1567
538	1827	1563
539	1830	1559
540	1833	1555
541	1836	1551
542	1839	1547
543	1841	1543
544	1844	1540
545	1848	1536
546	1850	1532
547	1852	1528
548	1856	1525
549	1859	1521
550	1862	1518
551	1865	1514
552	1868	1510
553	1871	1506
554	1874	1502
555	1876	1498
556	1880	1495
557	1882	1491
558	1885	1487
559	1888	1484
560	1891	1480
561	1894	1476
562	1898	1473
563	1902	1470
564	1905	1467
565	1908	1463
566	1912	1460
567	1915	1456
568	1918	1453
569	1922	1450
570	1926	1447
571	1929	1443
572	1932	1440
573	1936	1437
574	1939	1433
575	1944	1431
576	1946	1427
577	1951	1424
578	1954	1421
579	1956	1417
580	1960	1413
581	1963	1409
582	1967	1407
583	1970	1403
584	1974	1400
585	1977	1397
586	1980	1393
587	1984	1390
588	1986	1386
589	1989	1382
590	1992	1378
591	1994	1374
592	1998	1371
593	2001	1367
594	2004	1364
595	2007	1361
596	2010	1357
597	2013	1353
598	2016	1349
599	2018	1345
600	2022	1342
601	2024	1338
602	2026	1334
603	2029	1330
604	2032	1326
605	2034	1322
606	2037	1319
607	2040	1315
608	2043	1312
609	2046	1308
610	2049	1304
611	2051	1300
612	2055	1297
613	2057	1293
614	2060	1289
615	2063	1286
616	2065	1282
617	2067	1278
618	2071	1274
619	2073	1270
620	2075	1266
621	2079	1263
622	2082	1260
623	2086	1257
624	2089	1253
625	2091	1249
626	2095	1246
627	2097	1242
628	2099	1238
629	2102	1235
630	2105	1231
631	2109	1228
632	2111	1224
633	2115	1220
634	2118	1217
635	2121	1214
636	2124	1210
637	2127	1207
638	2130	1203
639	2133	1200
640	2135	1196
641	2138	1192
642	2142	1189
643	2144	1185
644	2148	1182
645	2152	1179
646	2154	1175
647	2157	1171
648	2161	1168
649	2164	1165
650	2167	1162
651	2169	1158
652	2172	1154
653	2175	1151
654	2178	1147
655	2181	1144
656	2184	1140
657	2186	1136
658	2190	1133
659	2192	1129
660	2196	1126
661	2198	1122
662	2201	1118
663	2204	1115
664	2206	1111
665	2209	1108
666	2213	1105
667	2216	1101
668	2220	1098
669	2224	1095
670	2228	1092
671	2233	1090
672	2238	1087
673	2241	1084
674	2246	1081
675	2249	1078
676	2253	1075
677	2256	1071
678	2260	1068
679	2263	1065
680	2266	1061
681	2270	1058
682	2273	1055
683	2276	1051
684	2280	1048
685	2283	1045
686	2286	1041
687	2290	1038
688	2294	1035
689	2297	1032
690	2300	1028
691	2304	1025
692	2307	1022
693	2311	1019
694	2315	1016
695	2319	1013
696	2324	1010
697	2328	1007
698	2332	1004
699	2336	1001
700	2341	998
701	2344	995
702	2348	992
703	2352	989
704	2356	986
705	2360	983
706	2364	979
707	2367	976
708	2371	973
709	2374	969
710	2379	967
711	2383	964
712	2387	961
713	2391	958
714	2395	954
715	2398	951
716	2401	947
717	2404	944
718	2407	940
719	2409	936
720	2413	933
721	2415	930
722	2419	926
723	2422	923
724	2424	919
725	2427	916
726	2429	912
727	2432	908
728	2436	905
729	2438	901
730	2442	898
731	2446	895
732	2448	891
733	2453	889
734	2455	885
735	2459	882
736	2461	878
737	2464	874
738	2467	871
739	2470	867
740	2472	864
741	2477	861
742	2479	857
743	2483	854
744	2486	851
745	2492	848
746	2495	845
747	2499	841
748	2502	838
749	2506	835
750	2509	832
751	2512	828
752	2516	825
753	2519	821
754	2522	818
755	2526	815
756	2530	812
757	2533	808
758	2536	805
759	2539	801
760	2541	798
761	2544	794
762	2547	791
763	2550	787
764	2552	784
765	2555	780
766	2557	777
767	2560	773
768	2563	770
769	2565	766
770	2568	762
771	2571	759
772	2574	755
773	2576	752
774	2580	749
775	2582	745
776	2585	741
777	2588	738
778	2590	734
779	2593	731
780	2596	728
781	2599	724
782	2601	721
783	2604	717
784	2606	713
785	2610	710
786	2612	707
787	2615	703
788	2618	700
789	2621	696
790	2623	693
791	2626	689
792	2629	686
793	2631	682
794	2634	679
795	2637	675
796	2640	672
797	2643	669
798	2645	665
799	2647	661
800	2651	658
801	2653	655
802	2655	651
803	2659	648
804	2662	644
805	2665	641
806	2668	638
807	2670	634
808	2674	631
809	2676	627
810	2679	624
811	2682	621
812	2685	617
813	2688	614
814	2691	611
815	2694	607
816	2697	604
817	2700	600
818	2704	597
819	2707	594
820	2710	590
821	2713	587
822	2716	584
823	2718	580
824	2722	577
825	2725	574
826	2728	570
827	2732	567
828	2734	564
829	2739	561
830	2741	557
831	2744	554
832	2747	550
833	2750	547
834	2754	544
835	2757	541
836	2761	537
837	2763	534
838	2766	530
839	2769	527
840	2772	524
841	2774	520
842	2778	517
843	2781	514
844	2784	510
845	2788	507
846	2790	504
847	2794	500
848	2797	497
849	2799	494
850	2803	490
851	2805	487
852	2810	484
853	2813	480
854	2815	477
855	2818	474
856	2820	470
857	2826	467
858	2828	464
859	2831	460
860	2834	457
861	2837	454
862	2840	451
863	2843	447
864	2845	444
865	2848	440
866	2851	437
867	2853	433
868	2856	430
869	2858	427
870	2860	423
871	2864	420
872	2867	417
873	2869	413
874	2873	410
875	2876	407
876	2879	403
877	2882	400
878	2884	397
879	2887	393
880	2890	390
881	2893	387
882	2897	383
883	2899	380
884	2903	377
885	2906	374
886	2909	370
887	2913	367
888	2916	364
889	2920	360
890	2923	357
891	2926	354
892	2929	351
893	2933	347
894	2936	344
895	2939	341
896	2943	337
897	2946	334
898	2949	331
899	2953	328
900	2956	324
901	2959	321
902	2962	318
903	2965	314
904	2969	311
905	2972	308
906	2976	305
907	2980	302
908	2984	298
909	2987	295
910	2990	292
911	3008	290
912	3011	286
913	3013	283
914	3016	280
915	3019	276
916	3022	273
917	3026	270
918	3028	266
919	3031	263
920	3034	260
921	3037	256
922	3039	253
923	3042	250
924	3044	246
925	3047	243
926	3050	240
927	3052	236
928	3054	233
929	3057	230
930	3060	226
931	3063	223
932	3066	220
933	3068	216
934	3070	213
935	3073	210
936	3077	206
937	3081	203
938	3083	200
939	3087	197
940	3090	193
941	3092	190
942	3095	187
943	3098	183
944	3100	180
945	3103	177
946	3106	173
947	3108	170
948	3111	167
949	3114	163
950	3117	160
951	3121	157
952	3123	154
953	3126	150
954	3129	147
955	3131	144
956	3134	140
957	3137	137
958	3139	134
959	3142	130
960	3144	127
961	3146	124
962	3149	121
963	3152	117
964	3154	114
965	3157	111
966	3161	107
967	3163	104
968	3167	101
969	3171	98
970	3175	94
971	3177	91
972	3179	88
973	3183	84
974	3186	81
975	3190	78
976	3193	75
977	3196	71
978	3199	68
979	3201	65
980	3204	62
981	3208	58
982	3210	55
983	3213	52
984	3216	48
985	3219	45
986	3222	42
987	3225	39
988	3228	35
989	3231	32
990	3234	29
991	3237	26
992	3239	22
993	3242	19
994	3244	16
995	3247	13
996	3250	9
997	3253	6
998	3256	3
999	3258	0
