Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2021-03-31;19;128,6;1010,2;21,6;5;,7;
2021-04-30;13;112,6;1014,5;19,3;7,1;1,1;
2021-05-31;15;41,8;1013,8;12,8;8,8;,8;
2021-06-30;12;null;1015,8;13,1;6,3;,6;
2021-07-31;null;null;null;null;null;null;
2021-08-31;1;null;null;null;null;null;
2021-09-30;16;230,8;1013;15,8;9,6;,9;
2021-10-31;12;66,8;1012,8;17,3;6;,6;
2021-11-30;9;30,2;1009,5;20,5;7,9;,9;
2021-12-31;8;44,8;1010,4;22;4,1;,6;
2022-01-31;15;144;1007,9;24,7;5,3;,5;
2022-02-28;13;85;1008,4;22,6;4,7;,3;
2022-03-31;11;57,8;1010;20,3;6,1;,5;
2022-04-30;16;95;1012,3;17,6;6,4;,2;
2022-05-31;22;41;1014,6;13,4;6,7;,4;
2022-06-30;16;84,6;1015,6;10,1;5,9;,3;
2022-07-31;28;283,4;1012,2;13,1;5,1;,5;
2022-08-31;17;91,8;1017;12,4;4,2;,2;
2022-09-30;15;78,2;1015,8;13,7;4,5;,4;
2022-10-31;19;55,2;1012,3;16,4;5,1;,7;
2022-11-30;7;58,4;1013,4;20,2;5,2;,7;
2022-12-31;9;11,8;1008,7;22,7;5,1;,6;
2023-01-31;7;38,4;1008,7;24,3;4,7;,6;
2023-02-28;15;91,6;1008,6;23,1;4,6;,4;
2023-03-31;null;null;1010,1;23,9;4,8;,2;
2023-04-30;7;null;1012,5;18,2;5,4;,1;
2023-05-31;17;127;1014,7;16,3;2,1;,1;
2023-06-30;13;null;null;12,7;2,7;null;
2023-07-31;22;31;1016,3;12,7;4,9;,1;
2023-08-31;5;3,6;1013,3;13,3;8,9;1,2;
2023-09-30;21;389,6;1011,8;14,8;11,6;3,2;
2023-10-31;13;71,2;1011,3;16,7;9,7;3,2;
2023-11-30;17;234,4;1008,6;19,4;9,6;3,2;
2023-12-31;16;136;1009,5;21,6;9,1;3,2;
2024-01-31;12;33,6;1010,8;23;8,9;3,1;
2024-02-29;10;63,4;1010,9;24,3;7,8;3,1;
2024-03-31;15;222,2;1010,7;22;9,1;2,3;
2024-04-30;18;195,2;1011,1;19;9,8;2,9;
2024-05-31;24;497,4;1013,6;13,6;10,4;2,7;
2024-06-30;15;126;1012,4;14,7;8,7;2,6;
2024-07-31;14;12,4;1020,1;10,6;7;2;
2024-08-31;15;167,8;1015,2;12,8;11;3,3;
2024-09-30;19;201,8;1011,9;16;10,4;2,9;
2024-10-31;14;114,6;1012,2;18,6;9,2;3,2;
2024-11-30;14;198,6;1010,3;21;10,9;3,3;
2024-12-31;12;244,8;1008,9;20;11;3,3;

