Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-02-28;18;172,4;935,4;22,4;8;3,1;
2017-03-31;16;201;937,2;20,6;9,6;3,3;
2017-04-30;14;296,8;938,4;17,5;7,5;3,4;
2017-05-31;14;301,4;938,1;16,2;9,6;3,6;
2017-06-30;7;null;940,8;14,1;10,8;3,4;
2017-07-31;2;null;null;null;8,9;null;
2017-08-31;10;168;939;15,1;10,2;3,8;
2017-09-30;6;null;939,5;20,4;11,9;3,8;
2017-10-31;6;null;null;null;8,9;null;
2017-11-30;13;180,4;934,5;19,2;8,5;3,4;
2017-12-31;14;77,2;933,9;22,4;9,9;3,4;
2018-01-31;15;197,8;934,8;21,6;9,8;3,4;
2018-02-28;12;66,4;935,8;20,9;7,1;3,2;
2018-03-31;15;157,2;935,1;21,1;7,9;2,6;
2018-04-30;8;77,6;939,5;20,6;6,7;2,8;
2018-05-31;16;88,2;940,1;15,7;9,9;2,9;
2018-06-30;22;189,2;940,4;12,1;12,2;2,9;
2018-07-31;19;107,4;940,2;13,7;10,6;3,3;
2018-08-31;15;99,8;940,7;12;9,7;3,4;
2018-09-30;17;248,4;936,8;16,9;9,5;3,4;
2018-10-31;15;322;936,2;17,9;8,1;3,7;
2018-11-30;12;207;935,5;20,9;9,3;3,6;
2018-12-31;12;100,6;935,7;21,7;10,4;3,1;
2019-01-31;12;90,2;936,5;23,2;10;3,2;
2019-02-28;11;189,4;935,8;21,1;9,1;2,9;
2019-03-31;12;116,2;937,8;20;7,6;3;
2019-04-30;11;56,2;937,1;19,4;8,2;2,5;
2019-05-31;16;226,4;937,9;16,8;7,3;2,8;
2019-06-30;8;28,8;940,6;15,9;12,6;3,3;
2019-07-31;12;110,6;940,7;12,4;9,2;3;
2019-08-31;12;64,4;942,1;13,6;10,2;3,8;
