Data,day_of_week,month,quarter,year,is_month_start,is_month_end,is_quarter_end,Target,Abertura_shifted,Máxima_shifted,Mínima_shifted,Último_shifted,Volume_shifted,MA_5_shifted,MA_10_shifted,MA_20_shifted,MA_50_shifted,BB_Upper_shifted,BB_Lower_shifted,BB_Width_shifted,BB_Position_shifted,RSI_shifted,MACD_shifted,Signal_Line_shifted,atr_5_shifted,atr_10_shifted,atr_20_shifted,volatility_5_shifted,volatility_10_shifted,volatility_20_shifted,Price_Range_shifted,Price_Position_shifted,Gap_shifted,hl_close_ratio_shifted,true_range_shifted,high_close_prev_shifted,low_close_prev_shifted,returns_shifted,Variacao_shifted,doji_prev,hammer_prev,shooting_star_prev,engulfing_bullish_prev,bullish_candle_prev,bearish_candle_prev,body_size_prev,upper_shadow_prev,lower_shadow_prev
2011-02-08,1,2,1,2011,0,0,0,0,65.272,65.893,64.916,65.362,1980000.0,66.3862,67.1391,68.77584999999999,,72.7454535742681,64.80624642573189,7.939207148536212,0.07000114291898486,21.914141954822796,-0.9194201915765348,-0.6175329639306556,1.2474000000000018,1.251700000000001,1.0324500000000008,0.016574856735405583,0.012793623338265859,0.011023182793048472,0.9770000000000039,0.4564994882292694,0.0030000000000001137,0.014947523025611273,0.9770000000000039,0.6239999999999952,0.35300000000000864,0.0014248724509335897,0.0014000000000000002,1,0,0,0,1,0,0.0899999999999892,0.5310000000000059,0.35600000000000875
2011-02-09,2,2,1,2011,0,0,0,1,65.359,66.238,65.11,65.771,2760000.0,65.971,66.7735,68.55805000000001,,72.69018605905305,64.42591394094697,8.264272118106078,0.162759168603137,22.72486492213156,-0.9445550497242294,-0.6831356530511552,1.203600000000003,1.2918000000000007,1.0655000000000008,0.012732719508607684,0.01297814815878057,0.01119511163693485,1.1280000000000001,0.5859929078014195,-0.0030000000000001137,0.017150415836766967,1.1280000000000001,0.8760000000000048,0.25199999999999534,0.006257458462103349,0.0063,0,0,0,0,1,0,0.41200000000000614,0.46699999999999875,0.24899999999999523
2011-02-10,3,2,1,2011,0,0,0,1,65.767,65.767,64.016,64.218,2810000.0,65.477,66.3244,68.2478,,72.70902473625443,63.78657526374557,8.922449472508866,0.0483527239446641,21.174728529121396,-1.0631812264039837,-0.7593289919109814,1.2808000000000022,1.3632000000000004,1.12725,0.014366841689568265,0.014172319396531132,0.01193707675765501,1.7509999999999906,0.11536264991433424,-0.0040000000000048885,0.027266498489519925,1.7549999999999955,0.0040000000000048885,1.7549999999999955,-0.023612230314272176,-0.0236,0,0,0,0,0,1,1.5489999999999924,0.0,0.20199999999999818
2011-02-11,4,2,1,2011,0,0,0,1,64.217,65.106,64.185,64.578,2360000.0,65.03960000000001,65.9771,67.89505,,72.34491578035315,63.445184219646855,8.899731560706293,0.127286511129696,25.065039023414045,-1.117544123642503,-0.8311108645921088,1.3133999999999986,1.3219999999999998,1.1128,0.015148911615158118,0.014629368183889428,0.011078513304074169,0.9209999999999923,0.426710097719874,-0.0010000000000047748,0.014261822911827437,0.9209999999999923,0.887999999999991,0.03300000000000125,0.005605904886480495,0.005600000000000001,0,0,0,0,1,0,0.3610000000000042,0.5279999999999916,0.031999999999996476
2011-02-14,0,2,1,2011,0,0,0,0,64.582,65.89,64.562,65.756,2400000.0,65.137,65.88289999999999,67.6468,,71.98544352315936,63.308156476840644,8.677287046318718,0.28209779278856956,34.28278879270222,-1.0620455771060051,-0.8773693886938178,1.2217999999999989,1.2263999999999995,1.1189499999999994,0.015413993598457505,0.015308911084628446,0.012077175530608523,1.328000000000003,0.8990963855421686,0.003999999999990678,0.020195875661536633,1.328000000000003,1.3119999999999976,0.016000000000005343,0.018241506395366702,0.0182,0,0,0,0,1,0,1.1740000000000066,0.13400000000000034,0.01999999999999602
2011-02-15,1,2,1,2011,0,0,0,1,65.751,66.743,65.462,66.558,1950000.0,65.3762,65.8812,67.4277,,71.50054729577931,63.35485270422069,8.145694591558623,0.3932319410917684,37.25002222024706,-0.9481441938852413,-0.8915418944444282,1.2825999999999964,1.2649999999999992,1.1436499999999996,0.01612274437519167,0.015887971564473618,0.012505129860160294,1.2809999999999917,0.8555815768930607,-0.0049999999999954525,0.01924637158568454,1.2809999999999917,0.9869999999999948,0.29399999999999693,0.012196605632946111,0.012199999999999999,0,0,0,0,1,0,0.8070000000000022,0.18499999999998806,0.2890000000000015
2011-02-16,2,2,1,2011,0,0,0,1,66.558,66.861,66.117,66.341,2360000.0,65.4902,65.73060000000001,67.21430000000001,,71.02406198179031,63.404538018209706,7.619523963580605,0.38538654065868583,38.98604651162785,-0.8640693410617217,-0.8860419368737341,1.2057999999999964,1.2046999999999997,1.1610499999999995,0.016311650768521882,0.014419753413708932,0.01249986489443361,0.7439999999999998,0.3010752688171903,0.0,0.011214784220919188,0.7439999999999998,0.30299999999999727,0.4410000000000025,-0.0032603143123293155,-0.0033,0,0,0,0,0,1,0.21700000000001296,0.30299999999999727,0.22399999999998954
2011-02-17,3,2,1,2011,0,0,0,1,66.342,67.793,66.342,67.576,2670000.0,66.1618,65.8194,67.0471,,70.44314592988593,63.65105407011407,6.792091859771858,0.5778699715668684,47.903240045907964,-0.6974735095302265,-0.8482983478529844,1.1451999999999998,1.213000000000001,1.2094,0.009243025948206186,0.014727273523993502,0.013322112170735829,1.4510000000000076,0.8504479669193578,0.0010000000000047748,0.02147212027938925,1.4520000000000124,1.4520000000000124,0.0010000000000047748,0.01861593886133761,0.018600000000000002,0,0,0,0,1,0,1.2339999999999947,0.21700000000001296,0.0
2011-02-18,4,2,1,2011,0,0,0,0,67.58,67.876,67.107,67.685,2150000.0,66.7832,65.91139999999999,66.92845000000001,,70.03505413516619,63.82184586483383,6.213208270332359,0.6217647899576236,54.894376673609095,-0.5511307791489628,-0.7888271397558598,1.1148000000000025,1.2141000000000006,1.1866500000000002,0.009897153991838586,0.01472706310480824,0.013142093249113865,0.7690000000000055,0.7516254876462924,0.0040000000000048885,0.011361453793307313,0.7690000000000055,0.30000000000001137,0.4689999999999941,0.0016129986977626576,0.0016,0,0,0,0,1,0,0.10500000000000398,0.1910000000000025,0.472999999999999
2011-02-21,0,2,1,2011,0,0,0,0,67.685,68.226,67.386,68.067,1940000.0,67.24539999999999,66.1912,66.8537,,69.75890977410909,63.94849022589092,5.810419548218164,0.708814525342161,57.2133049700251,-0.4019096562538351,-0.7114043850548677,1.0172000000000025,1.1195000000000008,1.1833500000000008,0.008632215626406564,0.012113998797684605,0.013172790099252495,0.8400000000000034,0.8107142857142793,0.0,0.012340781876680381,0.8400000000000034,0.5409999999999968,0.2990000000000066,0.005643791091083594,0.005600000000000001,0,0,0,0,1,0,0.3819999999999908,0.15900000000000603,0.2990000000000066
2011-02-22,1,2,1,2011,0,0,0,1,68.067,68.067,67.085,67.259,1450000.0,67.3856,66.3809,66.76,,69.4700057875254,64.04999421247462,5.420011575050779,0.5920662240458998,47.02368900587166,-0.3410537579063373,-0.6373042010194754,0.957400000000004,1.1200000000000003,1.1858500000000007,0.011285747595159419,0.013146863570860035,0.013351001904994641,0.9819999999999993,0.17718940936864228,0.0,0.01460027654291618,0.9819999999999993,0.0,0.9819999999999993,-0.011870656852806638,-0.011899999999999999,0,0,0,0,0,1,0.8079999999999927,0.0,0.1740000000000066
2011-02-23,2,2,1,2011,0,0,0,1,67.255,67.57,66.342,66.44,3050000.0,67.4054,66.4478,66.61064999999999,,69.01363176833436,64.20766823166562,4.805963536668742,0.46449203188955507,48.69993709373032,-0.3511131721052152,-0.5800474143470253,1.054200000000003,1.1299999999999997,1.2109,0.012937621287791325,0.013901257580945691,0.013496780700223898,1.2279999999999944,0.07980456026058584,-0.0040000000000048885,0.018482841661649527,1.2279999999999944,0.31099999999999284,0.9170000000000016,-0.012176809051576809,-0.012199999999999999,0,0,0,0,0,1,0.8149999999999977,0.3149999999999977,0.09799999999999898
2011-02-24,3,2,1,2011,0,0,0,0,66.44,67.266,66.049,66.91,3330000.0,67.2722,66.717,66.5207,,68.71891670307645,64.32248329692356,4.39643340615288,0.588549049658107,50.73003725707379,-0.31944449831681254,-0.527913296350128,1.0072000000000003,1.0762,1.2197000000000002,0.009418080567365015,0.010903897751539894,0.013499527037445343,1.2169999999999987,0.7074774034511018,0.0,0.018188611567777593,1.2169999999999987,0.8260000000000076,0.39099999999999113,0.007074051776038592,0.0070999999999999995,0,0,0,0,1,0,0.46999999999999886,0.35600000000000875,0.39099999999999113
2011-02-25,4,2,1,2011,0,1,0,1,66.909,67.344,66.693,66.949,2700000.0,67.125,66.9541,66.46560000000001,,68.55485304204261,64.37634695795741,4.1785060840852,0.6156872792027583,59.91267406183615,-0.28803415740163985,-0.4799275023009225,0.9835999999999985,1.0492000000000004,1.1856000000000002,0.009331706304562681,0.01094592968390846,0.013359696413075823,0.6509999999999962,0.39324116743471843,-0.000999999999990564,0.009723819623892759,0.6509999999999962,0.4339999999999975,0.21699999999999875,0.0005828725153191883,0.0006,1,0,0,0,1,0,0.03999999999999204,0.394999999999996,0.21600000000000819
2011-02-28,0,2,1,2011,0,1,0,0,66.952,67.632,66.331,66.903,2390000.0,66.89219999999999,67.0688,66.47585000000001,,68.5719041651298,64.37979583487022,4.192108330259572,0.6018938363106539,59.143230093746354,-0.2636453480809564,-0.4366638830551917,1.075799999999998,1.0465000000000004,1.13645,0.008392140863871071,0.009712507186635171,0.012578091075925647,1.301000000000002,0.43966179861645033,0.0030000000000001137,0.01944606370416875,1.301000000000002,0.6830000000000069,0.617999999999995,-0.0006870901731167445,-0.0007000000000000001,1,0,0,0,0,1,0.04899999999999238,0.6800000000000068,0.5720000000000027
2011-03-01,1,3,1,2011,1,0,0,1,66.909,67.458,66.687,67.383,2640000.0,66.917,67.1513,66.51624999999999,,68.65113822584277,64.3813617741572,4.269776451685573,0.7029965760052485,59.484584608143074,-0.204862024129568,-0.390297348100434,1.0335999999999985,0.9955000000000013,1.1302500000000002,0.007902987363347961,0.009231587268933002,0.012661252009315572,0.7710000000000008,0.9027237354085568,0.006000000000000227,0.011442055117759685,0.7710000000000008,0.5549999999999926,0.21600000000000819,0.00717456616295209,0.0072,0,0,0,0,1,0,0.47399999999998954,0.07500000000000284,0.2220000000000084
2011-03-02,2,3,1,2011,1,0,0,1,67.381,67.708,66.243,66.243,2170000.0,66.8776,67.1415,66.43605,,68.47898034891705,64.39311965108294,4.085860697834107,0.4527516931494179,62.52319109461963,-0.24386353766405477,-0.36100747137922773,1.0810000000000002,1.0676000000000017,1.1361500000000007,0.009836355919382664,0.010845679732186683,0.012462790370171731,1.4650000000000034,0.0,-0.001999999999995339,0.022115544283924392,1.4650000000000034,0.32500000000000284,1.1400000000000006,-0.016918213792796455,-0.0169,0,0,0,0,0,1,1.1380000000000052,0.3269999999999982,0.0
